동,연도,총인구수,남자인구수,여자인구수,구,위도 (Lat),경도 (Long)
와동,2025,35023,18681,16342,단원구,37.3253,126.8372
원곡동,2016,33004,17880,15124,단원구,37.3325,126.8117
원곡동,2017,7704,4503,3201,단원구,37.3325,126.8117
원곡동,2018,7084,4096,2988,단원구,37.3325,126.8117
원곡동,2019,6646,3841,2805,단원구,37.3325,126.8117
원곡동,2020,6272,3609,2663,단원구,37.3325,126.8117
원곡동,2021,6045,3471,2574,단원구,37.3325,126.8117
원곡동,2022,5908,3365,2543,단원구,37.3325,126.8117
원곡동,2023,5613,3182,2431,단원구,37.3325,126.8117
원곡동,2024,5367,3032,2335,단원구,37.3325,126.8117
원곡동,2025,5330,3010,2320,단원구,37.3325,126.8117
월피동,2016,45366,23218,22148,상록구,37.3203,126.8517
월피동,2017,44518,22827,21691,상록구,37.3203,126.8517
월피동,2018,42080,21496,20584,상록구,37.3203,126.8517
월피동,2019,40215,20543,19672,상록구,37.3203,126.8517
월피동,2020,38604,19747,18857,상록구,37.3203,126.8517
월피동,2021,38102,19447,18655,상록구,37.3203,126.8517
월피동,2022,37580,19166,18414,상록구,37.3203,126.8517
월피동,2023,36464,18638,17826,상록구,37.3203,126.8517
월피동,2024,35574,18211,17363,상록구,37.3203,126.8517
월피동,2025,34928,17893,17035,상록구,37.3203,126.8517
이동,2016,28988,15303,13685,상록구,37.3069,126.8539
이동,2017,28391,14998,13393,상록구,37.3069,126.8539
이동,2018,26527,14070,12457,상록구,37.3069,126.8539
이동,2019,25209,13401,11808,상록구,37.3069,126.8539
이동,2020,23979,12811,11168,상록구,37.3069,126.8539
이동,2021,23874,12812,11062,상록구,37.3069,126.8539
이동,2022,23515,12657,10858,상록구,37.3069,126.8539
이동,2023,22805,12336,10469,상록구,37.3069,126.8539
이동,2024,22498,12240,10258,상록구,37.3069,126.8539
이동,2025,22178,12082,10096,상록구,37.3069,126.8539
일동,2016,28258,14340,13918,상록구,37.3075,126.8647
일동,2017,28311,14362,13949,상록구,37.3075,126.8647
일동,2018,27235,13845,13390,상록구,37.3075,126.8647
일동,2019,26073,13276,12797,상록구,37.3075,126.8647
일동,2020,25009,12731,12278,상록구,37.3075,126.8647
일동,2021,24691,12606,12085,상록구,37.3075,126.8647
일동,2022,24413,12444,11969,상록구,37.3075,126.8647
일동,2023,23444,11959,11485,상록구,37.3075,126.8647
일동,2024,22752,11618,11134,상록구,37.3075,126.8647
일동,2025,22283,11419,10864,상록구,37.3075,126.8647
중앙동,2016,21884,10860,11024,단원구,37.315,126.8306
중앙동,2017,21487,10666,10821,단원구,37.315,126.8306
중앙동,2018,24502,12148,12354,단원구,37.315,126.8306
중앙동,2019,26065,12953,13112,단원구,37.315,126.8306
중앙동,2020,25138,12523,12615,단원구,37.315,126.8306
중앙동,2021,24506,12227,12279,단원구,37.315,126.8306
중앙동,2022,23298,11574,11724,단원구,37.315,126.8306
중앙동,2023,23549,11759,11790,단원구,37.315,126.8306
중앙동,2024,24288,12053,12235,단원구,37.315,126.8306
중앙동,2025,23514,11695,11819,단원구,37.315,126.8306
초지동,2016,43008,21956,21052,단원구,37.3117,126.8031
초지동,2017,42637,21811,20826,단원구,37.3117,126.8031
초지동,2018,42217,21602,20615,단원구,37.3117,126.8031
초지동,2019,47944,24552,23392,단원구,37.3117,126.8031
초지동,2020,47015,24127,22888,단원구,37.3117,126.8031
초지동,2021,46921,24090,22831,단원구,37.3117,126.8031
초지동,2022,46508,23912,22596,단원구,37.3117,126.8031
초지동,2023,45838,23428,22410,단원구,37.3117,126.8031
초지동,2024,45437,23218,22219,단원구,37.3117,126.8031
초지동,2025,45944,23498,22446,단원구,37.3117,126.8031
해양동,2016,19833,10278,9555,상록구,37.2894,126.8436
해양동,2017,19434,10075,9359,상록구,37.2894,126.8436
해양동,2018,18618,9587,9031,상록구,37.2894,126.8436
해양동,2019,18419,9448,8971,상록구,37.2894,126.8436
해양동,2020,37248,18801,18447,상록구,37.2894,126.8436
해양동,2021,41279,20790,20489,상록구,37.2894,126.8436
해양동,2022,41163,20716,20447,상록구,37.2894,126.8436
해양동,2023,40391,20246,20145,상록구,37.2894,126.8436
해양동,2024,39748,19916,19832,상록구,37.2894,126.8436
해양동,2025,39272,19669,19603,상록구,37.2894,126.8436
호수동,2016,48872,24529,24343,단원구,37.3003,126.8306
호수동,2017,48388,24342,24046,단원구,37.3003,126.8306
호수동,2018,46653,23492,23161,단원구,37.3003,126.8306
호수동,2019,46080,23145,22935,단원구,37.3003,126.8306
호수동,2020,44212,22209,22003,단원구,37.3003,126.8306
호수동,2021,43745,21946,21799,단원구,37.3003,126.8306
호수동,2022,43090,21686,21404,단원구,37.3003,126.8306
호수동,2023,42772,21527,21245,단원구,37.3003,126.8306
호수동,2024,42215,21234,20981,단원구,37.3003,126.8306
호수동,2025,41810,21062,20748,단원구,37.3003,126.8306
